iteration,reward_mean,length_mean,games,loss
500,-0.9,2.1,10,0.02820432558655739
1000,-1.0,2.0,9,0.025093000382184982
1500,-1.0,2.0,9,0.012679115869104862
2000,-1.0,2.0,8,0.010130012407898903
2500,-1.0,2.0,9,0.00615695072337985
3000,-1.0,2.0,8,0.005334735848009586
3500,-1.0,2.0,8,0.00814737193286419
4000,-0.89,2.11,9,0.007074076682329178
4500,-1.0,2.0,8,0.004985913634300232
5000,-1.0,2.0,8,0.0027420292608439922
5500,-1.0,2.0,8,0.0037550190463662148
6000,-1.0,2.0,8,0.0022383148316293955
6500,-0.5,2.0,10,0.0022090221755206585
7000,-1.0,2.0,8,0.0020174309611320496
7500,-0.6,2.0,10,0.0049866014160215855
8000,-0.64,2.0,11,0.0016970104770734906
8500,-0.22,2.0,9,0.0025859924498945475
9000,-0.3,2.1,10,0.0014062976697459817
9500,-0.25,2.0,8,0.0010083777597174048
10000,-0.12,2.0,8,0.003382280468940735
10500,0.0,2.0,8,0.0005883801495656371
11000,-0.3,2.0,10,0.0029204562306404114
11500,-0.25,2.0,8,0.004335338715463877
12000,0.0,2.12,8,0.00038077987846918404
12500,-0.25,2.0,8,0.0060801696963608265
13000,-0.22,2.22,9,0.001227028900757432
13500,-0.22,2.0,9,0.0008619357249699533
14000,-0.4,2.0,10,0.0003020315198227763
14500,-0.12,2.0,8,0.003111454425379634
15000,-0.38,2.0,8,0.000940777244977653
15500,-0.12,2.0,8,0.00471062446013093
16000,0.0,2.0,8,0.0028687999583780766
16500,-0.12,2.0,8,0.00048775001778267324
17000,-0.12,2.12,8,0.0008346823742613196
17500,0.11,2.44,9,0.001099532237276435
18000,-0.33,2.22,9,0.0024722858797758818
18500,-0.11,2.11,9,0.005659185815602541
19000,0.25,2.38,8,0.005273084621876478
19500,-0.11,2.33,9,0.0010409990791231394
20000,0.0,2.25,8,0.0013286566827446222
20500,0.0,2.0,8,0.004292416386306286
21000,-0.2,2.5,10,0.0022188944276422262
21500,0.44,2.78,9,0.0018375655636191368
22000,0.25,2.25,8,0.0027387726586312056
22500,-0.75,2.25,8,0.0036618290469050407
23000,-0.12,2.12,8,0.005466820672154427
23500,0.0,2.12,8,0.0016363492468371987
24000,0.12,2.38,8,0.0017423273529857397
24500,0.38,2.88,8,0.0008359202183783054
25000,0.0,2.12,8,0.002275318605825305
25500,0.12,2.25,8,0.0038166241720318794
26000,0.5,2.88,8,0.005975276231765747
26500,0.0,2.12,8,0.003193829907104373
